,corporation,2021 overall score,Affinity,Ethics,Growth,Products/service,Citizenship,Vision,Culture,2019 Ranking,2019 Demo_Democrat,2019 Demo_Independent,2019 Demo_Republican
0,Patagonia,82.7,81.9,84.7,83.4,85.4,82.0,82.9,82.5,81.3576863934463,81.664632749995,80.1993538771519,82.507624085984
1,Chick-fil-A,81.1,82.0,82.5,84.8,82.5,77.9,81.4,82.3,77.5117974091527,74.5182474562603,71.7405783765543,87.1587777600396
2,Tesla Motors,80.2,75.5,76.3,84.4,84.9,72.2,85.7,79.4,75.4184045683604,79.7191666978866,73.9981235279074,72.0801748761585
3,Costco,80.1,81.5,80.1,81.6,81.8,78.0,81.8,81.8,78.6408575411152,80.9914477988037,74.7387112133957,81.2638875643715
4,USAA,79.2,79.7,81.1,82.9,80.2,78.9,82.5,81.0,78.8213378849016,79.4317699724734,76.6562631177698,80.1564378160774
5,Wegmans,79.2,77.8,80.7,80.9,80.1,77.1,81.1,79.9,82.9682707754944,84.2911775504456,80.9606233896892,83.8196166612316
6,Unilever,79.2,79.3,76.7,81.4,81.8,77.6,80.8,80.1,77.2935502852947,80.6952810864123,69.4624289443605,83.3727432205877
7,Apple,79.1,77.4,74.7,84.1,84.8,71.6,81.5,80.3,76.3857881236931,77.0198883863132,74.5632139086363,77.6798524330957
8,UPS,78.6,78.7,77.3,80.5,79.0,74.7,79.9,81.1,79.3406059105534,79.0396558473913,77.5316861806589,82.1200258384656
9,PepsiCo,78.5,77.0,79.6,82.1,81.3,74.4,84.3,81.7,74.1538904188226,73.9814944399166,72.0043508959338,76.7107801381133
10,Lowe's,78.3,80.2,78.5,80.0,79.5,74.7,79.4,77.4,77.8751435200439,80.6786831259387,73.9604591836735,80.0938352631276
11,Berkshire Hathaway,78.0,78.0,76.9,81.0,79.4,74.8,80.9,80.7,75.1018697592058,75.8766953636556,73.0448964448237,77.4489898217292
12,Nestle,77.7,77.1,77.1,81.0,80.8,72.3,83.1,79.8,77.1316521295912,76.8627202024773,73.128641654785,83.5138872095975
13,Samsung,77.5,70.7,70.1,72.6,74.6,67.2,73.9,75.0,79.9974262138652,80.7038487229517,77.0701508116474,83.3733944636718
14,Sony,77.3,76.6,76.7,78.4,81.9,71.6,79.5,77.6,79.3865822512586,82.2361529401405,75.1566011739844,81.8322230876668
