,state,DEMOCRAT,INDEPENDENT,REPUBLICAN,Total,dem_votes_share,rep_votes_share,indep_votes_share,year
0,Alabama,621911.0,,1222018.0,1843929.0,0.3372749167674027,0.6627250832325974,,2016
1,Alaska,111019.0,,155088.0,266107.0,0.4171968418718786,0.5828031581281214,,2016
2,Arizona,1034687.0,,1264785.0,2299472.0,0.4499672098638296,0.5500327901361703,,2016
3,Arkansas,111347.0,,760415.0,871762.0,0.12772637485919322,0.8722736251408068,,2016
4,California,8624432.0,,4682033.0,13306465.0,0.64813848005462,0.35186151994537995,,2016
5,Colorado,1263791.0,,1288618.0,2552409.0,0.4951365553091217,0.5048634446908783,,2016
6,Connecticut,916815.0,9972.0,558162.0,1484949.0,0.6174050421933682,0.37587957566219443,0.006715382144437284,2016
7,Delaware,233554.0,,172301.0,405855.0,0.5754616796639194,0.42453832033608063,,2016
8,Florida,3985050.0,,4733630.0,8718680.0,0.4570703363353168,0.5429296636646832,,2016
9,Georgia,1498437.0,,2272460.0,3770897.0,0.3973688488441875,0.6026311511558126,,2016
10,Hawaii,316265.0,,85626.0,401891.0,0.7869422306048157,0.21305776939518425,,2016
11,Idaho,208992.0,,447544.0,656536.0,0.3183252708153094,0.6816747291846905,,2016
12,Illinois,2810536.0,,2397436.0,5207972.0,0.539660351476544,0.460339648523456,,2016
13,Indiana,1052901.0,,1442989.0,2495890.0,0.42185392785739756,0.5781460721426024,,2016
14,Iowa,673969.0,,813153.0,1487122.0,0.4532035703862898,0.5467964296137102,,2016
15,Kansas,317635.0,86760.0,694240.0,1098635.0,0.2891178598897723,0.6319114173497112,0.07897072276051646,2016
16,Kentucky,516904.0,,1248140.0,1765044.0,0.2928561554272868,0.7071438445727132,,2016
17,Louisiana,530050.0,,1177543.0,1707593.0,0.31040769082562414,0.6895923091743759,,2016
18,Maine,386627.0,,357447.0,744074.0,0.5196082647693644,0.48039173523063566,,2016
19,Maryland,1636200.0,,962088.0,2598288.0,0.629722340248656,0.37027765975134397,,2016
20,Massachusetts,2344518.0,83737.0,451121.0,2879376.0,0.8142451697867872,0.156673181967204,0.029081648246008857,2016
21,Michigan,2193980.0,,2243402.0,4437382.0,0.49443117586000035,0.5055688241399997,,2016
22,Minnesota,974996.0,,1334679.0,2309675.0,0.4221355818459307,0.5778644181540693,,2016
23,Mississippi,449896.0,6918.0,680810.0,1137624.0,0.3954698564727889,0.5984490481916697,0.006081095335541444,2016
24,Missouri,1041306.0,,1600524.0,2641830.0,0.39416086576350484,0.6058391342364952,,2016
25,Montana,205919.0,,285358.0,491277.0,0.41915049961630607,0.5808495003836939,,2016
26,Nebraska,221069.0,,557557.0,778626.0,0.2839219342791019,0.716078065720898,,2016
27,Nevada,508113.0,,498104.0,1006217.0,0.5049735792577545,0.49502642074224545,,2016
28,New Hampshire,336451.0,57885.0,316001.0,710337.0,0.4736498309957105,0.4448606788045674,0.0814894901997221,2016
29,New Jersey,1821620.0,,1541631.0,3363251.0,0.5416247553334557,0.4583752446665444,,2016
30,New Mexico,436932.0,,343124.0,780056.0,0.5601290163783113,0.4398709836216887,,2016
31,New York,4202200.0,,2140917.0,6343117.0,0.6624818681414831,0.33751813185851687,,2016
32,North Carolina,2142661.0,,2447326.0,4589987.0,0.46681199750674673,0.5331880024932533,,2016
33,North Dakota,80377.0,,233980.0,314357.0,0.25568700553828927,0.7443129944617107,,2016
34,Ohio,2154523.0,,2996017.0,5150540.0,0.41831011893898506,0.5816898810610149,,2016
35,Oklahoma,305222.0,16644.0,781692.0,1103558.0,0.27657993508270523,0.7083379396461265,0.015082125271168348,2016
36,Oregon,1026851.0,78154.0,730894.0,1835899.0,0.5593178056091321,0.3981123144573857,0.04256987993348218,2016
37,Pennsylvania,2625157.0,,3096576.0,5721733.0,0.4588045265306857,0.5411954734693143,,2016
38,Rhode Island,263642.0,25195.0,141324.0,430161.0,0.6128914522701965,0.32853745458095923,0.05857109314884427,2016
39,South Carolina,767627.0,,1177365.0,1944992.0,0.39466846136128064,0.6053315386387194,,2016
40,South Dakota,132810.0,,237163.0,369973.0,0.3589721412103045,0.6410278587896955,,2016
41,Tennessee,814181.0,83134.0,1493740.0,2391055.0,0.3405111969402628,0.6247200503543415,0.034768752705395735,2016
42,Texas,3160535.0,,4877605.0,8038140.0,0.39319233056403596,0.6068076694359641,,2016
43,Utah,356287.0,,710635.0,1066922.0,0.33393912582175644,0.6660608741782436,,2016
44,Vermont,264414.0,,,264414.0,1.0,,,2016
45,Virginia,1859426.0,36580.0,1843010.0,3739016.0,0.4973035686394495,0.49291310868955895,0.009783322670991513,2016
46,Washington,1736145.0,,1404890.0,3141035.0,0.5527302306405373,0.4472697693594627,,2016
47,West Virginia,224449.0,,445017.0,669466.0,0.3352657192448907,0.6647342807551093,,2016
48,Wisconsin,1379996.0,53210.0,1270279.0,2703485.0,0.5104507700246164,0.4698672269311648,0.01968200304421885,2016
49,Wyoming,75466.0,,156176.0,231642.0,0.3257872061197883,0.6742127938802117,,2016
